Run,Mean,Stdev
451,3.301,3.03
452,1.814,1.654
453,2.785,2.364
454,2.53,1.911
455,2.374,1.922
456,3.363,3.1
457,1.832,1.446
458,2.354,1.626
459,3.159,2.691
460,2.103,2.263
461,2.567,2.074
462,1.916,1.764
463,2.354,1.687
464,3.4,2.886
465,2.462,2.722
466,2.71,2.498
467,2.896,2.574
468,2.721,2.349
469,2.5,1.851
470,2.612,2.184
471,2.093,1.785
472,2.617,2.297
473,2.386,2.582
474,2.601,1.91
475,2.78,2.43
476,1.468,1.244
477,2.78,1.891
478,2.357,1.996
479,2.318,1.687
480,2.475,2.564
481,2.133,2.189
482,2.646,2.431
483,2.535,2.485
484,2.184,1.916
485,2.487,2.346
486,3.143,3.2
487,3.327,3.496
488,1.965,1.632
489,1.968,2.2
490,2.848,2.599
491,2.441,2.661
492,2.265,1.388
493,3.196,3.455
494,2.223,2.149
495,3.243,2.681
496,1.558,1.132
497,2.326,1.667
498,2.505,2.065
499,2.564,2.119
-1,2.147,1.433
