Run,Mean,Stdev
423,1.977,2.941
424,1.9,2.379
425,1.961,2.321
426,1.882,2.542
427,1.914,2.045
428,1.96,2.612
429,1.839,2.393
430,2.215,3.149
431,2.206,2.322
432,2.214,2.965
433,1.949,2.055
434,1.686,2.404
435,2.127,2.377
436,1.859,2.19
437,1.337,1.505
438,1.756,2.278
439,2.051,2.635
440,2.154,2.546
441,1.764,1.881
442,1.801,2.305
443,1.82,1.938
444,1.631,1.867
445,2.215,2.716
446,2.503,2.62
447,1.847,2.47
448,1.727,1.678
449,1.985,3.153
450,1.803,2.41
451,2.238,3.043
452,1.511,1.932
453,1.877,2.219
454,2.028,2.074
455,1.877,2.269
456,2.049,3.095
457,1.494,1.671
458,1.931,2.276
459,2.585,3.089
460,1.759,2.57
461,1.639,2.129
462,1.509,1.822
463,1.961,2.203
464,2.558,2.971
465,1.911,2.807
466,2.041,2.628
467,2.01,2.325
468,1.94,2.427
469,1.903,2.054
470,1.77,2.081
471,1.675,1.876
472,1.981,2.496
473,1.87,2.508
474,2.298,2.388
475,1.897,2.777
476,1.091,1.387
477,2.121,2.375
478,1.826,2.232
479,1.696,1.686
480,2.071,2.928
481,1.885,2.465
482,1.982,2.7
483,1.639,2.474
484,1.647,2.189
485,1.763,2.245
486,2.314,3.131
487,2.133,3.344
488,1.541,1.976
489,1.524,2.539
490,2.275,3.016
491,2.032,2.855
492,1.773,1.516
493,2.072,3.323
494,1.761,2.088
495,1.885,2.759
496,1.365,1.564
497,1.888,1.91
498,1.715,2.158
499,1.998,2.428
-1,1.659,1.741
