Run,Mean,Stdev
141,3.319,3.4
142,3.114,2.913
143,2.884,2.59
144,2.556,2.271
145,2.858,2.814
146,4.015,3.568
147,3.334,3.565
148,3.273,2.654
149,2.893,2.676
150,3.069,3.056
151,2.477,2.189
152,3.475,3.21
153,2.848,3.028
154,3.484,2.956
155,4.29,4.089
156,2.931,2.704
157,3.421,3.214
158,3.429,3.522
159,2.801,2.364
160,2.633,2.381
161,3.047,2.999
162,3.091,2.203
163,2.438,2.226
164,3.441,2.828
165,2.888,2.77
166,2.916,2.794
167,3.154,2.925
168,3.192,2.917
169,2.785,2.585
170,2.499,2.427
171,2.108,2.003
172,3.064,2.855
173,3.178,3.13
174,2.997,2.883
175,3.213,2.772
176,2.22,1.581
177,3.842,4.092
178,2.927,2.796
179,3.377,2.627
180,3.079,2.627
181,2.037,1.631
182,3.1,2.406
183,2.611,2.203
184,3.046,3.017
185,3.143,2.937
186,3.34,2.796
187,3.161,3.217
188,4.331,4.3
189,2.932,2.651
190,2.595,2.074
191,4.132,3.568
192,1.993,1.592
193,2.806,1.976
